LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, ENVTX_PC_GDP ,Flag Codes
CAN,TAXENV,TOT,PC_GDP,A,2000, 1.34 ,
CAN,TAXENV,TOT,PC_GDP,A,2001, 1.31 ,
CAN,TAXENV,TOT,PC_GDP,A,2002, 1.33 ,
CAN,TAXENV,TOT,PC_GDP,A,2003, 1.34 ,
CAN,TAXENV,TOT,PC_GDP,A,2004, 1.26 ,
CAN,TAXENV,TOT,PC_GDP,A,2005, 1.21 ,
CAN,TAXENV,TOT,PC_GDP,A,2006, 1.18 ,
CAN,TAXENV,TOT,PC_GDP,A,2007, 1.15 ,
CAN,TAXENV,TOT,PC_GDP,A,2008, 1.09 ,
CAN,TAXENV,TOT,PC_GDP,A,2009, 1.18 ,
CAN,TAXENV,TOT,PC_GDP,A,2010, 1.17 ,
CAN,TAXENV,TOT,PC_GDP,A,2011, 1.15 ,
CAN,TAXENV,TOT,PC_GDP,A,2012, 1.15 ,
CAN,TAXENV,TOT,PC_GDP,A,2013, 1.15 ,
CAN,TAXENV,TOT,PC_GDP,A,2014, 1.11 ,
DEU,TAXENV,TOT,PC_GDP,A,2000, 2.33 ,
DEU,TAXENV,TOT,PC_GDP,A,2001, 2.50 ,
DEU,TAXENV,TOT,PC_GDP,A,2002, 2.50 ,
DEU,TAXENV,TOT,PC_GDP,A,2003, 2.63 ,
DEU,TAXENV,TOT,PC_GDP,A,2004, 2.51 ,
DEU,TAXENV,TOT,PC_GDP,A,2005, 2.44 ,
DEU,TAXENV,TOT,PC_GDP,A,2006, 2.37 ,
DEU,TAXENV,TOT,PC_GDP,A,2007, 2.19 ,
DEU,TAXENV,TOT,PC_GDP,A,2008, 2.17 ,
DEU,TAXENV,TOT,PC_GDP,A,2009, 2.27 ,
DEU,TAXENV,TOT,PC_GDP,A,2010, 2.16 ,
DEU,TAXENV,TOT,PC_GDP,A,2011, 2.18 ,
DEU,TAXENV,TOT,PC_GDP,A,2012, 2.12 ,
DEU,TAXENV,TOT,PC_GDP,A,2013, 2.06 ,
DEU,TAXENV,TOT,PC_GDP,A,2014, 1.99 ,
DEU,TAXENV,TOT,PC_GDP,A,2015, 1.92 ,
DEU,TAXENV,TOT,PC_GDP,A,2016, 1.86 ,
DEU,TAXENV,TOT,PC_GDP,A,2017, 1.62 ,
DEU,TAXENV,TOT,PC_GDP,A,2018, 1.78 ,
DEU,TAXENV,TOT,PC_GDP,A,2019, 1.76 ,
DEU,TAXENV,TOT,PC_GDP,A,2020, 1.69 ,
DEU,TAXENV,TOT,PC_GDP,A,2021, 1.60 ,
FRA,TAXENV,TOT,PC_GDP,A,2000, 2.30 ,
FRA,TAXENV,TOT,PC_GDP,A,2001, 2.13 ,
FRA,TAXENV,TOT,PC_GDP,A,2002, 2.23 ,
FRA,TAXENV,TOT,PC_GDP,A,2003, 2.17 ,
FRA,TAXENV,TOT,PC_GDP,A,2004, 2.29 ,
FRA,TAXENV,TOT,PC_GDP,A,2005, 2.23 ,
FRA,TAXENV,TOT,PC_GDP,A,2006, 2.17 ,
FRA,TAXENV,TOT,PC_GDP,A,2007, 2.08 ,
FRA,TAXENV,TOT,PC_GDP,A,2008, 2.06 ,
FRA,TAXENV,TOT,PC_GDP,A,2009, 2.10 ,
FRA,TAXENV,TOT,PC_GDP,A,2010, 2.12 ,
FRA,TAXENV,TOT,PC_GDP,A,2011, 2.15 ,
FRA,TAXENV,TOT,PC_GDP,A,2012, 2.17 ,
FRA,TAXENV,TOT,PC_GDP,A,2013, 2.25 ,
FRA,TAXENV,TOT,PC_GDP,A,2014, 2.21 ,
FRA,TAXENV,TOT,PC_GDP,A,2015, 2.33 ,
FRA,TAXENV,TOT,PC_GDP,A,2016, 2.38 ,
FRA,TAXENV,TOT,PC_GDP,A,2017, 2.42 ,
FRA,TAXENV,TOT,PC_GDP,A,2018, 2.47 ,
FRA,TAXENV,TOT,PC_GDP,A,2019, 2.38 ,
FRA,TAXENV,TOT,PC_GDP,A,2020, 2.28 ,
FRA,TAXENV,TOT,PC_GDP,A,2021, 2.28 ,
GBR,TAXENV,TOT,PC_GDP,A,2000, 2.67 ,
GBR,TAXENV,TOT,PC_GDP,A,2001, 2.48 ,
GBR,TAXENV,TOT,PC_GDP,A,2002, 2.47 ,
GBR,TAXENV,TOT,PC_GDP,A,2003, 2.42 ,
GBR,TAXENV,TOT,PC_GDP,A,2004, 2.40 ,
GBR,TAXENV,TOT,PC_GDP,A,2005, 2.26 ,
GBR,TAXENV,TOT,PC_GDP,A,2006, 2.19 ,
GBR,TAXENV,TOT,PC_GDP,A,2007, 2.26 ,
GBR,TAXENV,TOT,PC_GDP,A,2008, 2.24 ,
GBR,TAXENV,TOT,PC_GDP,A,2009, 2.38 ,
GBR,TAXENV,TOT,PC_GDP,A,2010, 2.47 ,
GBR,TAXENV,TOT,PC_GDP,A,2011, 2.45 ,
GBR,TAXENV,TOT,PC_GDP,A,2012, 2.43 ,
GBR,TAXENV,TOT,PC_GDP,A,2013, 2.46 ,
GBR,TAXENV,TOT,PC_GDP,A,2014, 2.44 ,
GBR,TAXENV,TOT,PC_GDP,A,2015, 2.41 ,
GBR,TAXENV,TOT,PC_GDP,A,2016, 2.39 ,
GBR,TAXENV,TOT,PC_GDP,A,2017, 2.35 ,
GBR,TAXENV,TOT,PC_GDP,A,2018, 2.33 ,
GBR,TAXENV,TOT,PC_GDP,A,2019, 2.35 ,
GBR,TAXENV,TOT,PC_GDP,A,2020, 2.07 ,
GBR,TAXENV,TOT,PC_GDP,A,2021, 1.99 ,
ITA,TAXENV,TOT,PC_GDP,A,2000, 3.09 ,
ITA,TAXENV,TOT,PC_GDP,A,2001, 2.96 ,
ITA,TAXENV,TOT,PC_GDP,A,2002, 2.94 ,
ITA,TAXENV,TOT,PC_GDP,A,2003, 3.00 ,
ITA,TAXENV,TOT,PC_GDP,A,2004, 2.85 ,
ITA,TAXENV,TOT,PC_GDP,A,2005, 2.91 ,
ITA,TAXENV,TOT,PC_GDP,A,2006, 2.88 ,
ITA,TAXENV,TOT,PC_GDP,A,2007, 2.73 ,
ITA,TAXENV,TOT,PC_GDP,A,2008, 2.58 ,
ITA,TAXENV,TOT,PC_GDP,A,2009, 2.81 ,
ITA,TAXENV,TOT,PC_GDP,A,2010, 2.82 ,
ITA,TAXENV,TOT,PC_GDP,A,2011, 3.07 ,
ITA,TAXENV,TOT,PC_GDP,A,2012, 3.50 ,
ITA,TAXENV,TOT,PC_GDP,A,2013, 3.46 ,
ITA,TAXENV,TOT,PC_GDP,A,2014, 3.60 ,
ITA,TAXENV,TOT,PC_GDP,A,2015, 3.43 ,
ITA,TAXENV,TOT,PC_GDP,A,2016, 3.55 ,
ITA,TAXENV,TOT,PC_GDP,A,2017, 3.38 ,
ITA,TAXENV,TOT,PC_GDP,A,2018, 3.35 ,
ITA,TAXENV,TOT,PC_GDP,A,2019, 3.30 ,
ITA,TAXENV,TOT,PC_GDP,A,2020, 3.10 ,
ITA,TAXENV,TOT,PC_GDP,A,2021, 3.05 ,
JPN,TAXENV,TOT,PC_GDP,A,2000, 1.65 ,
JPN,TAXENV,TOT,PC_GDP,A,2001, 1.66 ,
JPN,TAXENV,TOT,PC_GDP,A,2002, 1.68 ,
JPN,TAXENV,TOT,PC_GDP,A,2003, 1.68 ,
JPN,TAXENV,TOT,PC_GDP,A,2004, 1.66 ,
JPN,TAXENV,TOT,PC_GDP,A,2005, 1.66 ,
JPN,TAXENV,TOT,PC_GDP,A,2006, 1.63 ,
JPN,TAXENV,TOT,PC_GDP,A,2007, 1.60 ,
JPN,TAXENV,TOT,PC_GDP,A,2008, 1.53 ,
JPN,TAXENV,TOT,PC_GDP,A,2009, 1.60 ,
JPN,TAXENV,TOT,PC_GDP,A,2010, 1.52 ,
JPN,TAXENV,TOT,PC_GDP,A,2011, 1.52 ,
JPN,TAXENV,TOT,PC_GDP,A,2012, 1.50 ,
JPN,TAXENV,TOT,PC_GDP,A,2013, 1.46 ,
JPN,TAXENV,TOT,PC_GDP,A,2014, 1.39 ,
JPN,TAXENV,TOT,PC_GDP,A,2015, 1.35 ,
JPN,TAXENV,TOT,PC_GDP,A,2016, 1.35 ,
JPN,TAXENV,TOT,PC_GDP,A,2017, 1.33 ,
JPN,TAXENV,TOT,PC_GDP,A,2018, 1.33 ,
JPN,TAXENV,TOT,PC_GDP,A,2019, 1.28 ,
JPN,TAXENV,TOT,PC_GDP,A,2020, 1.24 ,
JPN,TAXENV,TOT,PC_GDP,A,2021, 1.27 ,
OECD,TAXENV,TOT,PC_GDP,A,2000, 1.81 ,
OECD,TAXENV,TOT,PC_GDP,A,2001, 1.81 ,
OECD,TAXENV,TOT,PC_GDP,A,2002, 1.84 ,
OECD,TAXENV,TOT,PC_GDP,A,2003, 1.84 ,
OECD,TAXENV,TOT,PC_GDP,A,2004, 1.78 ,
OECD,TAXENV,TOT,PC_GDP,A,2005, 1.76 ,
OECD,TAXENV,TOT,PC_GDP,A,2006, 1.67 ,
OECD,TAXENV,TOT,PC_GDP,A,2007, 1.63 ,
OECD,TAXENV,TOT,PC_GDP,A,2008, 1.54 ,
OECD,TAXENV,TOT,PC_GDP,A,2009, 1.64 ,
OECD,TAXENV,TOT,PC_GDP,A,2010, 1.64 ,
OECD,TAXENV,TOT,PC_GDP,A,2011, 1.62 ,
OECD,TAXENV,TOT,PC_GDP,A,2012, 1.61 ,
OECD,TAXENV,TOT,PC_GDP,A,2013, 1.64 ,
OECD,TAXENV,TOT,PC_GDP,A,2014, 1.63 ,
OECD,TAXENV,TOT,PC_GDP,A,2015, 1.67 ,
OECD,TAXENV,TOT,PC_GDP,A,2016, 1.68 ,
OECD,TAXENV,TOT,PC_GDP,A,2017, 1.62 ,
OECD,TAXENV,TOT,PC_GDP,A,2018, 1.58 ,
OECD,TAXENV,TOT,PC_GDP,A,2019, 1.56 ,
OECD,TAXENV,TOT,PC_GDP,A,2020, 1.50 ,
OECD,TAXENV,TOT,PC_GDP,A,2021, 1.40 ,
USA,TAXENV,TOT,PC_GDP,A,2000, 0.97 ,
USA,TAXENV,TOT,PC_GDP,A,2001, 0.94 ,
USA,TAXENV,TOT,PC_GDP,A,2002, 0.93 ,
USA,TAXENV,TOT,PC_GDP,A,2003, 0.90 ,
USA,TAXENV,TOT,PC_GDP,A,2004, 0.88 ,
USA,TAXENV,TOT,PC_GDP,A,2005, 0.87 ,
USA,TAXENV,TOT,PC_GDP,A,2006, 0.85 ,
USA,TAXENV,TOT,PC_GDP,A,2007, 0.83 ,
USA,TAXENV,TOT,PC_GDP,A,2008, 0.80 ,
USA,TAXENV,TOT,PC_GDP,A,2009, 0.81 ,
USA,TAXENV,TOT,PC_GDP,A,2010, 0.80 ,
USA,TAXENV,TOT,PC_GDP,A,2011, 0.81 ,
USA,TAXENV,TOT,PC_GDP,A,2012, 0.79 ,
USA,TAXENV,TOT,PC_GDP,A,2013, 0.77 ,
USA,TAXENV,TOT,PC_GDP,A,2014, 0.75 ,
USA,TAXENV,TOT,PC_GDP,A,2015, 0.76 ,
USA,TAXENV,TOT,PC_GDP,A,2016, 0.75 ,
USA,TAXENV,TOT,PC_GDP,A,2017, 0.73 ,
USA,TAXENV,TOT,PC_GDP,A,2018, 0.73 ,
USA,TAXENV,TOT,PC_GDP,A,2019, 0.73 ,
USA,TAXENV,TOT,PC_GDP,A,2020, 0.65 ,
USA,TAXENV,TOT,PC_GDP,A,2021, 0.62 ,
